Date;Distance;Type;Time;Lieu;Avg Pace/km;Avg HR;Puiss moy;Déniv pos;Alt max
26-Jul;6.00;Tempo;00:37:49;plage;6'18;171;163;3;16
27-Jul;8.00;Seuil;00:49:15;plage;6'09;179;165;31;31
29-Jul;6.22;fractionné;00:36:04;piste;5'48;176;177;108;14
30-Jul;5.00;Seuil;00:29:05;piste;5'49;171;177;87;15
31-Jul;6.21;fractionné;00:37:00;plage;5'58;177;173;3;19
02-Aug;7.00;Seuil;00:39:31;piste;5'39;173;182;119;15
03-Aug;9.00;Seuil;00:52:10;piste;5'48;179;178;157;14
05-Aug;3.38;fractionné;00:20:09;piste;5'57;170;171;55;15
06-Aug;6.84;Tempo;00:45:00;piste;6'34;167;156;118;14
07-Aug;6.00;Tempo;00:36:08;plage;6'01;181;170;3;19
08-Aug;7.00;Seuil;00:40:07;piste;5'44;168;180;123;14
09-Aug;11.00;Seuil;01:05:37;piste;5'58;182;173;196;15
11-Aug;5.00;Seuil;00:30:49;plage;6'10;171;167;2;19
12-Aug;6.60;fractionné;00:40:02;plage;6'04;175;169;4;24
16-Aug;6.50;Seuil;00:40:16;plage;6'11;181;166;5;19
17-Aug;6.00;Tempo;00:37:49;plage;6'18;171;162;3;17
